id	name	lat	lon	y	x	country	adm1	adm2	district
43ae8f22-0bf1-4aca-b36e-20a5c765a585	Koluszki	51°44'42''	19°49'02''	431274.44	556408.21	POL	łódzkie	łódzki wschodni	
2aa27dd3-4ce6-4e41-9336-9257d24923fa	Kołaczyce	49°48'25''	21°26'03''	218366.38	675093.06	POL	podkarpackie	jasielski	
ab35f968-6002-4b2b-b224-fb4ca7134fac	Koło	52°12'16''	18°37'57''	482105.59	474900.6	POL	wielkopolskie	kolski	
67d76462-58f7-416c-937d-dfd2b63a0ca4	Kołobrzeg	54°10'47''	15°34'20''	707153.95	276396.71	POL	zachodniopomorskie	kołobrzeski	
b90a3182-787c-4bf0-ba08-2bffd01b3d48	Koniecpol	50°46'22''	19°40'37''	323075.36	547709.85	POL	śląskie	częstochowski	
71985443-2968-421e-81ad-34ce566ccf84	Konin	52°13'41''	18°15'15''	484934.98	449067.63	POL	wielkopolskie	m. Konin	
a8c8e8cc-928f-4a7a-a950-29bb331ed030	Konstancin-Jeziorna	52°05'34''	21°07'05''	471744.22	645061.3	POL	mazowieckie	piaseczyński	
c4ee3119-5084-4a6d-9de7-d97508b56444	Konstantynów Łódzki	51°44'53''	19°19'32''	431332.77	522461.86	POL	łódzkie	pabianicki	
46da9eb0-bbdd-4f46-bc1c-85569ede8d6d	Końskie	51°11'30''	20°24'26''	370370.32	598299.62	POL	świętokrzyskie	konecki	
829c2234-e68c-4ae6-b885-4414f75109c3	Koprzywnica	50°35'36''	21°35'04''	306099.07	682872.56	POL	świętokrzyskie	sandomierski	
57e6caaa-fce9-46dd-8f51-53de8aedb6eb	Korfantów	50°29'17''	17°35'44''	292170.72	400396.5	POL	opolskie	nyski	
89cd6552-ec20-47ec-b007-f4408b20c568	Koronowo	53°18'36''	17°56'32''	605516.96	429541.13	POL	kujawsko-pomorskie	bydgoski	
2f4a1556-f542-4718-bc65-baf14a066897	Korsze	54°10'20''	21°08'26''	703011.39	639686.55	POL	warmińsko-mazurskie	kętrzyński	
81417942-8735-4243-b7ce-6bb22c3569a3	Kosów Lacki	52°35'45''	22°08'49''	530220.75	713074.86	POL	mazowieckie	sokołowski	
f4e2d789-6b37-460d-85cf-db27c29be322	Kostrzyn	52°23'50''	17°13'32''	504963.54	379303.32	POL	wielkopolskie	poznański	
441fff12-084f-4932-91f6-ef2956d76057	Kostrzyn nad Odrą	52°35'24''	14°38'51''	533797.47	205302.47	POL	lubuskie	gorzowski	
12c2a873-7e87-4d2d-9e33-bda11055cfc9	Koszalin	54°11'25''	16°10'55''	706552.33	316196.57	POL	zachodniopomorskie	m. Koszalin	
bfb15df9-d49b-4126-be41-3e3e1fe9b5d3	Koszyce	50°10'07''	20°34'40''	256889.58	612637.65	POL	małopolskie	proszowicki	
97ca3bf9-3a46-4ae0-aa66-4b1a677cdc2d	Kościan	52°05'09''	16°38'39''	471476.05	338644.96	POL	wielkopolskie	kościański	
aa6d7bf7-de39-4b49-9236-491e68349259	Kościerzyna	54°07'16''	17°58'39''	695679.9	433191.45	POL	pomorskie	kościerski	
1dc1fc56-eeef-47ee-aa55-0c4effbe7139	Kowal	52°31'50''	19°08'55''	518306.72	510083.4	POL	kujawsko-pomorskie	włocławski	
dc028025-b12d-4eb4-8744-208b733b2f09	Kowalewo Pomorskie	53°09'17''	18°53'53''	587716.6	493191.41	POL	kujawsko-pomorskie	golubsko-dobrzyński	
40070e8a-bf36-4fc1-a35d-8336b1c17119	Kowary	50°47'33''	15°50'11''	329825.31	277119.46	POL	dolnośląskie	jeleniogórski	
9e6de037-c02c-47df-ab31-185ed3db8623	Koziegłowy	50°35'54''	19°09'43''	303489.87	511457.97	POL	śląskie	myszkowski	
dfaca58b-5a8f-4c89-b4f6-25555be017b6	Kozienice	51°35'06''	21°32'58''	416246.28	676567.94	POL	mazowieckie	kozienicki	
e5d6e47e-2e3b-4897-ad80-c7f6baaece96	Koźmin Wielkopolski	51°49'38''	17°27'10''	441226.53	393417.45	POL	wielkopolskie	krotoszyński	
a6318eea-6651-4a91-9db3-74de1b276d03	Kożuchów	51°44'43''	15°35'40''	436474.9	264984.92	POL	lubuskie	nowosolski	
47db9e22-0f84-4f20-82b6-89f003d1f76d	Kórnik	52°14'55''	17°05'23''	488669.6	369628.09	POL	wielkopolskie	poznański	
17e29d55-da2b-4138-a73e-dbf8d3e8386e	Krajenka	53°17'49''	16°59'26''	605428.18	366112.96	POL	wielkopolskie	złotowski	
1d575724-b4a9-430a-8d34-58fdb5d53b96	Kraków	50°03'42''	19°56'15''	244256.23	567071.76	POL	małopolskie	m. Kraków	
887ade7e-d61b-4f85-8f4e-1b5ac835332e	Krapkowice	50°28'29''	17°58'02''	290235.27	426732.64	POL	opolskie	krapkowicki	
93fb1aba-44ef-41c5-ac92-28497f22eacf	Krasnobród	50°32'42''	23°12'41''	306006.33	798246.83	POL	lubelskie	zamojski	
1ba60627-ed24-4754-9c6f-89fef2a0a894	Krasnystaw	50°58'54''	23°10'02''	354344.77	792390.76	POL	lubelskie	krasnostawski	
03c3de61-e064-4335-8e54-d08553e0f623	Kraśnik	50°55'18''	22°13'10''	344359.42	726201.74	POL	lubelskie	kraśnicki	
e890b15f-4e9a-4ad2-a433-eb1b7fd92560	Krobia	51°46'27''	16°59'05''	436121.55	360997.08	POL	wielkopolskie	gostyński	
dbd26d55-e883-4649-95d8-5f6de80bb9ee	Krosno	49°41'32''	21°46'01''	206423.07	699482.31	POL	podkarpackie	m. Krosno	
70c07447-88e9-4ead-987d-175ac5343b7c	Krosno Odrzańskie	52°03'08''	15°05'50''	472304.54	232519.5	POL	lubuskie	krośnieński	
181211b9-839c-45b5-bcab-0585be2f6731	Krośniewice	52°15'22''	19°10'15''	487799.6	511651.02	POL	łódzkie	kutnowski	
6a9d408f-7284-4e2d-9e2b-c2c41a5b5059	Krotoszyn	51°41'45''	17°26'15''	426633.52	392051.86	POL	wielkopolskie	krotoszyński	
03e62d33-1fee-445d-a6ed-b821e0b28028	Kruszwica	52°40'34''	18°19'23''	534716.96	454244.38	POL	kujawsko-pomorskie	inowrocławski	
a1f1cafd-b6dc-4175-99b7-3db809f9f8da	Krynica-Zdrój	49°25'17''	20°57'35''	174508.1	642080.06	POL	małopolskie	nowosądecki	
0a4c1a2d-f3ce-4414-bc8b-80345af65899	Krynica Morska	54°22'48''	19°26'13''	724081.47	528371.42	POL	pomorskie	nowodworski	
1d7e7478-d393-4ae1-a48a-3be61b69e102	Krynki	53°15'52''	23°46'28''	610544.19	818251.84	POL	podlaskie	sokólski	
562b3a0b-b787-4f2c-9b52-619621e5371e	Krzanowice	50°01'07''	18°07'31''	239410.33	437349.53	POL	śląskie	raciborski	
62cfb86f-9951-4d60-91b5-08f2e060c9d0	Krzepice	50°58'15''	18°43'42''	344921.92	480931.05	POL	śląskie	kłobucki	
f3869479-e15b-4ae7-8c14-b1709c3bfc67	Krzeszowice	50°08'06''	19°38'12''	252179.87	545483.82	POL	małopolskie	krakowski	
b9e872c2-f9c3-49c9-bd2b-370cb71b2892	Krzywiń	51°57'42''	16°49'15''	457295.3	350320.11	POL	wielkopolskie	kościański	
94a91888-869f-4974-99f9-1bb5523c538b	Krzyż Wielkopolski	52°52'45''	16°00'49''	561237.63	299109.02	POL	wielkopolskie	czarnkowsko-trzcianecki	
6013bb06-9797-4b89-bc8e-bed95b4afa5f	Książ Wielkopolski	52°03'45''	17°14'21''	467710.39	379331.28	POL	wielkopolskie	śremski	
125b3ebd-60f7-452f-aac9-2689edb5a657	Kudowa-Zdrój	50°26'27''	16°14'26''	289612.03	304131.2	POL	dolnośląskie	kłodzki	
425aa386-0183-4b7e-a005-1d94230edf0c	Kunów	50°57'17''	21°16'46''	345569.2	660041.7	POL	świętokrzyskie	ostrowiecki	
ce863548-9193-4159-9b56-3e26d1cf5a5e	Kutno	52°14'03''	19°21'28''	485406.46	524426.32	POL	łódzkie	kutnowski	
2d6518d1-1a92-4206-8c8e-cc0b7b0c47bd	Kuźnia Raciborska	50°12'01''	18°18'41''	259459.64	450859.96	POL	śląskie	raciborski	
80c679d1-8867-4eeb-b662-680af4bfab8b	Kwidzyn	53°44'09''	18°56'20''	652345.77	495969.9	POL	pomorskie	kwidzyński	
d86ddcd2-0112-42fb-b029-3d299d271e6e	Lądek-Zdrój	50°20'33''	16°53'14''	277172.55	349713.22	POL	dolnośląskie	kłodzki	
abe0e942-c038-48f5-a7e8-79681ea9c279	Legionowo	52°24'12''	20°55'37''	505903.48	631047.97	POL	mazowieckie	legionowski	
886e92ec-18a3-4994-ab54-375b392e68a1	Legnica	51°12'24''	16°09'46''	374925.81	301877.27	POL	dolnośląskie	m. Legnica	
fa52ddba-a47b-4728-b1cd-2d710c05ba04	Lesko	49°28'23''	22°19'46''	183728.35	741115.95	POL	podkarpackie	leski	
545234aa-eaa7-4359-b945-84355df4a8c9	Leszno	51°50'36''	16°34'28''	444668.41	332964.04	POL	wielkopolskie	m. Leszno	
